phone_encoded,Customer_id_encoded,Amount_Including_VAT,Order_Date,Return_Date,location_encoded,transaction_id_encoded
1528,3864,-135,2024-12-28 00:00:00,13/1/25 00:00,421e5f1c,5ab145ef
1528,4719,51,6/6/23 00:00,1/1/00 00:00,f3a00157,3f84e133
1528,6584,95,2023-10-27 00:00:00,1/1/00 00:00,Online_Sales,31ed25d4
1528,9793,58,2023-06-19 00:00:00,1/1/00 00:00,fb72e28e,47cf0e03
1528,3102,23,2023-11-01 00:00:00,1/1/00 00:00,Online_Sales,1409aa5f
1528,3102,37,2023-11-01 00:00:00,1/1/2000 0:00,Online_Sales,1409aa5f
1528,3102,47,2023-11-01 00:00:00,1/1/00 00:00,Online_Sales,1409aa5f
1528,3102,23,2023-07-31 00:00:00,1/1/00 00:00,Online_Sales,3880059e
1528,3102,59,2023-07-31 00:00:00,1/1/00 00:00,Online_Sales,3880059e
1528,3102,33,2023-07-31 00:00:00,1/1/00 00:00,Online_Sales,3880059e
1528,3102,-70,2023-03-09 00:00:00,5/9/23 00:00,Online_Sales,86421e3f
1528,4719,37,13/7/23 00:00,1/1/00 00:00,f3a00157,8df4bc88
1528,3102,49,2023-09-22 00:00:00,1/1/00 00:00,Online_Sales,50b0b4b5
1528,3102,69,2023-09-22 00:00:00,1/1/00 00:00,Online_Sales,50b0b4b5
1528,5145,-33,2023-03-03 00:00:00,23/3/23 00:00,Online_Sales,ddaee0d4
1528,4719,51,16/5/23 00:00,1/1/00 00:00,f3a00157,f3de61c3
1528,4719,27.2,16/5/23 00:00,1/1/00 00:00,f3a00157,f3de61c3
1528,3102,76,2023-09-22 00:00:00,1/1/00 00:00,Online_Sales,50b0b4b5
1528,3102,37,2023-09-22 00:00:00,1/1/00 00:00,Online_Sales,50b0b4b5
1528,4719,84.15,11/3/23 00:00,1/1/00 00:00,f3a00157,e9d3c3fd
1528,4719,51,11/3/23 00:00,1/1/00 00:00,f3a00157,e9d3c3fd
1528,4719,51,4/3/23 00:00,1/1/00 00:00,f3a00157,361580f6
